property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
house,sector 9,0.35,2,2,1,Old Property,398.0,No,unfurnished,Low,Low Floor
flat,sohna road,0.96,2,2,3+,Relatively New,1457.0,No,unfurnished,High,High Floor
flat,sector 70,1.1,2,2,2,Relatively New,1620.75,No,unfurnished,Medium,Mid Floor
flat,sector 84,2.24,4,4,3,Relatively New,3434.01,Yes,unfurnished,Low,High Floor
flat,sector 103,1.57,3,3,3,Relatively New,1874.01,No,unfurnished,Low,Low Floor
house,sector 43,5.5,1,1,0,Old Property,2138.0,No,unfurnished,Low,Low Floor
house,sector 70a,6.5,4,4,3+,New Property,2974.0,Yes,semifurnished,High,Low Floor
flat,sector 111,0.7,2,2,2,Relatively New,867.68,No,unfurnished,Medium,Mid Floor
flat,sector 62,0.9,1,1,0,Relatively New,706.0,No,unfurnished,Low,Low Floor
house,sector 45,8.5,5,4,2,Moderately Old,3580.0,Yes,semifurnished,Low,Low Floor
flat,sector 104,1.8,2,3,3,New Property,1700.05,Yes,unfurnished,Low,High Floor
house,sector 3,1.5,7,2,0,Old Property,2188.0,No,unfurnished,Low,Low Floor
flat,sector 54,4.85,3,4,3+,Relatively New,1874.96,Yes,semifurnished,Low,High Floor
house,sector 7,0.66,3,1,1,Relatively New,608.0,No,unfurnished,Low,Mid Floor
flat,sector 71,1.25,3,4,2,Relatively New,1743.0,Yes,semifurnished,High,Mid Floor
house,sector 12,0.9,4,4,0,Old Property,746.0,No,unfurnished,Low,Low Floor
flat,sector 110,0.22,2,2,1,New Property,623.7,No,semifurnished,Low,Low Floor
flat,sector 69,1.7,4,4,2,New Property,2010.05,No,unfurnished,Medium,Mid Floor
flat,sector 92,1.6,3,4,3+,Relatively New,1994.98,Yes,semifurnished,High,Mid Floor
flat,sector 82,1.28,3,3,3,Relatively New,1877.01,No,semifurnished,High,Mid Floor
flat,sector 63,3.25,3,3,3,New Property,2188.09,No,unfurnished,Low,Mid Floor
flat,sector 53,7.4,4,4,3,Under Construction,2779.6,No,unfurnished,Low,High Floor
flat,sector 82,1.25,3,4,3+,Under Construction,1960.0,No,unfurnished,Medium,Mid Floor
flat,sector 102,1.9,3,4,3,Relatively New,1888.96,Yes,unfurnished,High,Mid Floor
flat,sector 52,1.85,3,3,3,Moderately Old,2349.97,Yes,unfurnished,Low,Mid Floor
flat,sector 84,1.05,4,4,3+,New Property,2094.98,No,unfurnished,Medium,Mid Floor
flat,sohna road,0.28,2,2,2,New Property,650.03,No,unfurnished,Low,High Floor
flat,sector 61,2.41,3,3,3,New Property,1929.29,No,unfurnished,Medium,Low Floor
flat,sector 90,1.17,3,3,3,Relatively New,1743.97,No,semifurnished,Medium,High Floor
flat,sector 111,0.5,1,1,1,Relatively New,419.92,No,furnished,Medium,Low Floor
flat,sector 62,9.14,4,6,3,Relatively New,4690.05,Yes,semifurnished,Medium,High Floor
house,sector 9a,4.5,9,9,3+,Relatively New,4212.0,No,semifurnished,Low,Mid Floor
flat,sector 102,0.48,2,2,1,Relatively New,631.95,No,unfurnished,High,Mid Floor
flat,sector 65,2.29,3,4,3+,Relatively New,2057.26,Yes,furnished,High,Low Floor
flat,sector 14,1.7,5,5,2,Old Property,2868.22,No,furnished,Medium,Low Floor
flat,sector 70a,1.7,4,3,3,Relatively New,2369.15,No,semifurnished,Low,Low Floor
flat,sector 65,2.24,3,3,3,Relatively New,2057.26,Yes,unfurnished,Low,Low Floor
house,sector 43,3.35,1,1,0,Old Property,1372.0,No,unfurnished,Low,Low Floor
flat,sector 28,1.35,2,2,2,Moderately Old,1225.0,No,unfurnished,Low,Low Floor
flat,sector 22,4.3,3,4,3+,Relatively New,3089.99,Yes,furnished,Medium,Mid Floor
flat,sector 70,1.65,3,4,3,Relatively New,1949.99,Yes,semifurnished,Low,Mid Floor
flat,sector 36,0.42,2,2,1,New Property,662.11,No,unfurnished,Low,Mid Floor
flat,sector 85,0.9,3,3,2,Relatively New,1484.99,No,unfurnished,Medium,High Floor
flat,sector 71,1.0,1,1,1,Moderately Old,755.46,No,unfurnished,Medium,Mid Floor
flat,sector 59,4.02,3,3,1,Under Construction,2861.71,No,unfurnished,Low,Mid Floor
flat,dwarka expressway,1.65,3,4,3,Under Construction,3472.44,No,unfurnished,Low,Mid Floor
flat,sector 3,0.55,2,2,2,Old Property,950.02,No,unfurnished,Medium,Low Floor
flat,sector 113,2.78,3,3,3,New Property,2690.01,Yes,unfurnished,High,Mid Floor
flat,sector 92,1.25,4,4,3,Relatively New,2142.98,Yes,unfurnished,Medium,High Floor
house,sector 26,17.0,5,6,3,Old Property,4992.0,Yes,semifurnished,Medium,Low Floor
flat,sector 33,1.35,3,2,2,New Property,1620.75,No,unfurnished,Medium,Mid Floor
flat,sector 61,2.1,3,3,3,Relatively New,1800.05,No,semifurnished,Low,High Floor
flat,sector 88a,1.3,3,3,3+,Relatively New,2233.27,No,unfurnished,Medium,Mid Floor
flat,sector 81,0.89,2,2,2,Under Construction,1340.21,No,unfurnished,Low,Mid Floor
flat,sector 37c,0.7,2,3,3+,Under Construction,1435.04,No,unfurnished,Medium,High Floor
flat,sohna road,0.32,2,2,2,Relatively New,691.06,No,semifurnished,Low,High Floor
flat,sector 69,1.55,3,3,2,Relatively New,1577.99,No,unfurnished,Medium,Mid Floor
flat,sector 70,1.64,3,5,3,Relatively New,1949.99,Yes,unfurnished,Medium,Mid Floor
flat,sohna road,1.2,3,3,0,Relatively New,1967.0,No,unfurnished,Medium,High Floor
flat,sector 108,2.29,4,5,3+,Relatively New,3071.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 92,0.9,4,5,3+,Relatively New,1870.01,Yes,unfurnished,Medium,High Floor
flat,sector 56,0.6,1,1,1,Moderately Old,599.98,No,unfurnished,Low,Low Floor
flat,sector 92,0.65,3,3,3,Moderately Old,1763.08,No,unfurnished,Low,Mid Floor
flat,sector 89,0.9,2,2,2,New Property,1221.0,No,unfurnished,Low,Low Floor
flat,sector 95,0.48,2,2,2,Relatively New,835.24,No,unfurnished,Low,Mid Floor
flat,sector 59,3.9,3,1,0,Under Construction,2536.0,No,unfurnished,Low,Low Floor
flat,sector 104,2.65,3,4,3,Relatively New,2449.97,Yes,semifurnished,High,High Floor
house,sector 43,13.0,3,3,3+,New Property,2984.0,No,semifurnished,Low,Mid Floor
flat,sector 106,0.88,2,2,3+,Relatively New,1384.99,No,unfurnished,Low,Mid Floor
flat,sector 84,1.2,2,2,1,Relatively New,1270.03,No,unfurnished,Low,Mid Floor
flat,sector 71,1.32,4,4,3,Moderately Old,2193.04,Yes,unfurnished,Medium,High Floor
flat,sector 59,3.78,3,3,3,Under Construction,2861.71,No,unfurnished,Low,Mid Floor
flat,sector 102,1.3,2,2,3,Relatively New,1215.03,No,unfurnished,Medium,Low Floor
flat,sector 68,1.02,2,2,2,Relatively New,1260.02,No,semifurnished,Low,High Floor
flat,sohna road,0.65,2,2,2,Relatively New,1153.03,No,unfurnished,Medium,Low Floor
flat,sector 37c,0.6,2,2,3,Under Construction,1304.05,No,unfurnished,Medium,Mid Floor
house,sector 5,3.5,6,5,2,Old Property,2486.0,Yes,furnished,High,Mid Floor
flat,sector 73,1.0,2,2,2,New Property,1620.75,No,unfurnished,Low,High Floor
flat,sector 79,1.3,2,2,3,New Property,1571.96,No,unfurnished,Low,Mid Floor
flat,sector 53,5.6,3,3,3+,Under Construction,2892.04,No,unfurnished,Low,Low Floor
house,sector 66,18.0,5,6,3+,Relatively New,4972.0,Yes,furnished,High,Mid Floor
house,sector 109,5.65,4,4,3+,New Property,5967.0,Yes,semifurnished,Low,Low Floor
flat,sector 85,0.8,3,4,3,Relatively New,1645.05,Yes,semifurnished,Low,Mid Floor
house,sector 9,0.5,3,2,1,Moderately Old,928.98,No,unfurnished,Low,Low Floor
flat,sector 102,2.12,3,3,3,Relatively New,1814.57,No,unfurnished,Medium,Mid Floor
flat,sohna road,0.85,3,2,2,New Property,1081.02,No,unfurnished,Low,Mid Floor
flat,sector 69,2.07,3,3,3,Relatively New,1811.99,No,unfurnished,Low,High Floor
flat,sohna road,2.6,2,2,2,New Property,691.13,No,unfurnished,Low,Mid Floor
house,sector 25,4.31,5,4,3,Old Property,1492.0,No,unfurnished,Low,Mid Floor
flat,sector 70,2.0,4,5,3+,Moderately Old,2400.03,Yes,semifurnished,High,Mid Floor
flat,sector 33,2.15,3,3,3+,New Property,1590.04,No,unfurnished,Low,Low Floor
flat,sector 108,2.33,3,3,3,Relatively New,1965.21,No,semifurnished,High,High Floor
flat,sector 102,2.6,3,3,3,Relatively New,2597.97,Yes,unfurnished,Medium,Low Floor
flat,sector 102,0.95,2,2,2,Relatively New,932.87,No,unfurnished,Low,High Floor
flat,sector 81,4.5,4,6,3+,Relatively New,4199.97,Yes,semifurnished,Low,High Floor
flat,sector 86,1.25,3,2,1,New Property,1690.04,No,unfurnished,Low,High Floor
flat,sector 66,2.1,3,4,2,Relatively New,1919.96,Yes,semifurnished,High,High Floor
flat,sector 90,2.0,4,4,3+,Moderately Old,2727.03,Yes,unfurnished,Low,High Floor
flat,sector 83,1.75,3,3,3,Relatively New,1900.04,Yes,semifurnished,Medium,Mid Floor
flat,sector 102,1.1,2,2,1,Relatively New,948.68,No,unfurnished,Low,Mid Floor
flat,sector 66,1.9,3,4,2,Relatively New,1919.96,Yes,semifurnished,High,Mid Floor
flat,manesar,0.64,3,2,3+,Old Property,1903.07,No,unfurnished,Medium,Mid Floor
flat,sector 84,0.94,3,2,3+,New Property,1350.01,No,semifurnished,Medium,Mid Floor
flat,sector 91,1.5,3,4,3+,Relatively New,2320.05,Yes,unfurnished,Medium,Mid Floor
flat,manesar,1.0,3,4,0,New Property,2740.0,No,unfurnished,Low,Mid Floor
flat,sector 61,2.1,3,2,3,Under Construction,1549.03,No,unfurnished,Medium,Mid Floor
flat,sector 95,0.33,2,2,1,New Property,767.04,No,semifurnished,Medium,High Floor
house,sector 14,4.6,1,1,0,Old Property,2486.0,No,unfurnished,Low,Low Floor
flat,sector 103,2.2,4,6,3+,Relatively New,2875.04,Yes,semifurnished,Medium,Mid Floor
flat,sohna road,0.25,2,2,1,Relatively New,600.52,No,unfurnished,Medium,Mid Floor
flat,sector 50,2.7,3,3,3+,Moderately Old,2604.97,Yes,unfurnished,High,Mid Floor
flat,sector 102,2.61,3,3,3,Relatively New,2597.97,Yes,unfurnished,Low,High Floor
flat,sector 107,0.94,2,2,3+,Moderately Old,1366.05,No,unfurnished,Medium,Low Floor
flat,sector 91,1.9,4,4,3,Relatively New,2724.02,Yes,unfurnished,Medium,Mid Floor
flat,sector 81,1.35,3,3,3+,Moderately Old,1790.04,No,semifurnished,Medium,Mid Floor
flat,sector 107,0.5,2,2,1,Relatively New,546.05,No,unfurnished,Medium,High Floor
flat,sector 85,1.1,3,4,3,Moderately Old,1645.05,Yes,furnished,Medium,Mid Floor
flat,sector 70,1.75,3,4,2,Relatively New,2155.0,Yes,unfurnished,Low,High Floor
flat,sector 54,1.55,3,3,3+,Moderately Old,2100.04,No,semifurnished,Medium,Mid Floor
flat,sector 112,5.2,4,6,3+,Relatively New,4847.95,Yes,semifurnished,High,High Floor
flat,sector 99a,1.45,3,5,3,Relatively New,1997.03,Yes,semifurnished,Low,High Floor
house,sector 6,1.25,5,5,1,New Property,1193.0,No,unfurnished,Low,Low Floor
flat,sector 37d,1.45,3,3,3,Relatively New,1811.03,No,unfurnished,Medium,Mid Floor
flat,sector 112,3.75,3,5,3+,Relatively New,2801.95,Yes,semifurnished,Low,High Floor
flat,sector 89,0.95,2,2,2,Under Construction,1067.03,No,unfurnished,Medium,Low Floor
house,sector 7,1.35,4,5,0,Old Property,365.0,No,unfurnished,Low,Mid Floor
flat,sector 95,0.45,2,2,2,New Property,640.85,No,unfurnished,Low,High Floor
flat,sector 107,0.75,2,2,3+,Relatively New,1366.05,No,unfurnished,High,High Floor
house,sector 86,2.5,4,4,3+,Moderately Old,3757.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 102,1.9,3,3,3+,New Property,1852.04,No,unfurnished,High,High Floor
