property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
flat,sector 113,3.05,3,4,3,Relatively New,2690.01,Yes,unfurnished,High,Mid Floor
flat,sector 5,0.26,1,1,1,Relatively New,727.07,No,unfurnished,Low,Mid Floor
flat,sector 65,2.9,4,4,0,Relatively New,2462.43,No,unfurnished,Medium,Low Floor
flat,sector 111,2.65,3,4,3+,Relatively New,2215.0,Yes,unfurnished,Medium,High Floor
flat,sector 86,0.82,2,2,1,New Property,1360.02,No,unfurnished,Low,High Floor
house,sector 26,19.0,6,6,3,Relatively New,4992.0,Yes,semifurnished,Medium,Low Floor
flat,sector 111,3.45,4,5,3+,Relatively New,2949.95,Yes,unfurnished,Medium,Mid Floor
flat,sector 69,2.0,4,4,2,Relatively New,2087.01,No,unfurnished,High,Low Floor
house,sector 14,5.5,5,4,2,Old Property,3474.51,No,unfurnished,Low,Low Floor
house,sector 56,3.6,5,5,3+,Moderately Old,1601.0,No,unfurnished,Low,Mid Floor
flat,sector 69,1.36,3,3,1,Relatively New,1537.95,No,unfurnished,Medium,High Floor
flat,sector 92,0.9,4,5,3+,Relatively New,1994.98,Yes,unfurnished,Low,Mid Floor
flat,sector 112,2.6,2,2,3,Relatively New,2441.04,No,unfurnished,High,Mid Floor
flat,sector 102,0.47,2,2,1,Relatively New,631.95,No,unfurnished,Medium,Mid Floor
house,sector 7,3.1,3,3,2,Old Property,2486.0,No,unfurnished,Low,Low Floor
flat,sector 91,0.95,2,2,2,Relatively New,1309.97,No,unfurnished,Medium,Mid Floor
flat,sector 85,1.2,3,4,2,Relatively New,2119.95,Yes,unfurnished,Low,Mid Floor
flat,sector 65,6.15,3,4,2,Relatively New,3246.37,No,unfurnished,Low,High Floor
house,sector 39,0.34,1,1,1,Relatively New,497.0,No,unfurnished,Low,Low Floor
flat,sector 82a,2.2,3,3,3+,Relatively New,2091.96,Yes,furnished,High,High Floor
flat,sector 37d,1.49,3,3,3,Relatively New,1832.02,No,unfurnished,Low,High Floor
flat,sector 70,1.66,3,5,3,Relatively New,1949.99,Yes,unfurnished,Medium,Mid Floor
flat,sector 109,1.6,3,3,3,Relatively New,2545.02,Yes,unfurnished,Medium,Mid Floor
house,sector 57,6.21,6,6,3+,Old Property,2984.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 69,1.46,3,3,2,Relatively New,1577.99,No,semifurnished,High,Low Floor
house,sector 7,2.43,4,4,2,Old Property,3431.0,No,unfurnished,Low,Mid Floor
house,sector 67,8.0,6,7,3+,Moderately Old,3978.0,Yes,semifurnished,Low,High Floor
flat,sector 109,1.68,3,3,3,Relatively New,1745.04,No,unfurnished,Medium,Mid Floor
flat,sector 3,0.26,2,1,2,Relatively New,699.98,No,unfurnished,Low,Low Floor
flat,sector 33,1.79,3,3,3,Old Property,1788.96,No,unfurnished,Medium,Mid Floor
house,sector 8,1.6,4,6,1,Relatively New,617.0,No,unfurnished,Low,Mid Floor
flat,sector 70,1.65,3,4,3,Relatively New,1949.99,Yes,unfurnished,Medium,High Floor
house,sector 43,2.15,1,1,0,Moderately Old,1823.0,No,unfurnished,Low,Low Floor
flat,sohna road,0.54,2,2,3,New Property,658.75,No,unfurnished,Low,Mid Floor
house,sector 109,1.55,3,2,0,Relatively New,2608.0,No,unfurnished,Low,Low Floor
flat,sector 70,1.63,3,5,3,Relatively New,1949.99,Yes,unfurnished,Low,High Floor
house,sector 48,19.5,5,6,3,Moderately Old,9696.0,Yes,semifurnished,Medium,Low Floor
flat,sector 43,2.1,3,3,1,Old Property,1361.96,No,semifurnished,Medium,Low Floor
house,sector 48,4.95,7,7,3+,Old Property,2655.0,Yes,semifurnished,Medium,Low Floor
house,sector 12,1.7,3,3,0,Old Property,2020.05,No,unfurnished,Low,Low Floor
flat,sector 104,1.73,3,4,3+,Relatively New,2290.02,Yes,unfurnished,High,High Floor
flat,sector 83,1.19,2,2,3,Relatively New,1639.99,No,unfurnished,Low,Mid Floor
house,sector 111,9.0,5,5,3+,Relatively New,8840.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 2,1.18,2,2,3,Old Property,1564.96,No,unfurnished,Medium,Mid Floor
flat,sector 95,0.8,2,2,3,New Property,899.97,No,unfurnished,Medium,Mid Floor
house,sector 12,1.7,1,1,1,Old Property,1989.0,Yes,unfurnished,Low,Low Floor
flat,sector 79,1.25,3,3,3+,Relatively New,1858.22,No,semifurnished,Low,High Floor
house,sector 7,2.0,2,2,1,Relatively New,1989.0,No,unfurnished,Low,Low Floor
flat,sector 70,1.8,3,5,3,New Property,2431.71,No,unfurnished,Medium,Low Floor
house,sector 23,4.0,3,3,2,Moderately Old,2685.0,Yes,semifurnished,Medium,Low Floor
flat,sector 48,11.25,4,5,3+,Relatively New,4962.66,Yes,unfurnished,Low,Low Floor
flat,sohna road,0.9,3,2,2,Under Construction,1119.98,No,unfurnished,Medium,Low Floor
flat,sector 65,2.79,3,3,3,New Property,1828.03,No,unfurnished,Low,High Floor
flat,sector 82a,2.6,4,4,3+,Relatively New,2273.01,No,unfurnished,Low,Low Floor
flat,sector 90,1.8,4,4,3+,Moderately Old,2215.0,No,unfurnished,Low,Mid Floor
flat,sector 106,1.0,2,2,3+,New Property,1384.99,No,semifurnished,Low,Low Floor
flat,sector 83,0.75,2,2,2,Relatively New,1244.95,No,semifurnished,Medium,High Floor
flat,sector 90,1.75,4,4,3+,Relatively New,2215.0,No,unfurnished,Low,Mid Floor
flat,sector 50,2.92,3,3,3,Moderately Old,2604.97,Yes,semifurnished,High,Mid Floor
flat,sector 92,1.44,4,4,3,Relatively New,2543.92,No,unfurnished,Low,Mid Floor
flat,sector 37d,1.1,3,3,3,Relatively New,2199.0,No,unfurnished,Medium,Mid Floor
flat,sector 37d,1.1,3,3,1,Under Construction,1683.37,No,unfurnished,Low,Low Floor
flat,sector 37c,0.4,2,2,3,Under Construction,848.14,No,unfurnished,Medium,Mid Floor
flat,sector 65,2.85,4,4,3,Relatively New,2462.43,Yes,unfurnished,Low,Mid Floor
flat,sector 53,8.25,3,4,3,Under Construction,2939.94,Yes,furnished,Low,Mid Floor
flat,sector 69,3.05,4,5,3+,Relatively New,3155.98,Yes,unfurnished,Low,High Floor
flat,sector 4,0.43,2,2,1,Relatively New,810.41,No,unfurnished,Low,Low Floor
flat,sector 86,0.44,2,2,2,Relatively New,749.5,No,semifurnished,Medium,Mid Floor
flat,sector 102,0.45,2,2,1,Relatively New,596.97,No,furnished,Medium,High Floor
flat,sector 110,0.28,2,1,1,Relatively New,1122.23,No,unfurnished,Low,Low Floor
house,sector 41,9.35,10,10,3+,Moderately Old,7942.03,Yes,semifurnished,Medium,Mid Floor
flat,sector 65,2.78,3,3,3,Relatively New,1828.03,No,unfurnished,Medium,High Floor
flat,sector 79,1.15,3,3,3+,Under Construction,1533.96,No,unfurnished,Medium,Low Floor
house,sector 67,1.5,5,3,2,New Property,2020.02,No,unfurnished,Low,Low Floor
flat,sector 56,1.39,3,2,3,Old Property,1849.99,Yes,semifurnished,Medium,Mid Floor
flat,sector 70,1.67,3,5,3,Moderately Old,1949.99,Yes,unfurnished,Medium,Mid Floor
house,sector 73,17.0,5,8,3,Relatively New,9945.0,Yes,furnished,Medium,Mid Floor
flat,sector 109,1.4,3,3,3+,Relatively New,1749.99,No,unfurnished,Low,Mid Floor
house,sector 9,3.4,9,9,3,Moderately Old,2904.0,No,semifurnished,Medium,Mid Floor
flat,sector 89,0.65,2,2,2,Under Construction,1559.91,No,unfurnished,Low,High Floor
flat,sector 103,2.45,4,4,3,Relatively New,2875.04,Yes,unfurnished,Low,High Floor
flat,sector 69,0.9,3,2,3,Relatively New,1653.26,No,unfurnished,Medium,Mid Floor
flat,sector 61,1.55,2,2,1,Under Construction,1150.02,No,unfurnished,Low,Mid Floor
flat,sector 67,1.0,3,3,3+,Moderately Old,1553.98,No,unfurnished,Low,Low Floor
flat,sector 79,0.71,2,2,3+,New Property,1295.0,No,unfurnished,Medium,High Floor
flat,sector 37c,0.99,3,3,1,New Property,1815.01,Yes,unfurnished,Low,Mid Floor
house,sector 57,4.75,3,3,3,Moderately Old,1983.81,No,semifurnished,Medium,Low Floor
flat,sector 69,1.66,3,3,2,Relatively New,1638.05,No,unfurnished,High,Low Floor
house,sector 38,3.9,6,6,3+,Moderately Old,2029.0,Yes,unfurnished,Low,Mid Floor
flat,sector 74,1.6,2,2,2,Relatively New,1681.97,No,semifurnished,High,High Floor
flat,sector 111,0.36,1,1,1,Relatively New,505.04,No,unfurnished,Low,Mid Floor
flat,sector 77,1.55,4,4,3+,Relatively New,1949.99,Yes,furnished,Low,Low Floor
flat,manesar,0.5,2,2,0,Under Construction,1436.0,No,unfurnished,Low,Mid Floor
flat,sector 65,1.73,3,3,3,Relatively New,1395.0,Yes,furnished,High,Mid Floor
flat,sector 112,3.65,3,5,2,Relatively New,3094.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 88a,1.65,3,3,3,New Property,1825.02,No,unfurnished,Medium,High Floor
flat,sector 102,1.75,3,3,3,Relatively New,1852.04,Yes,unfurnished,Low,Mid Floor
flat,sector 25,3.7,4,4,3,Old Property,2618.41,Yes,semifurnished,Low,High Floor
flat,sohna road,0.27,2,2,1,Relatively New,570.27,No,semifurnished,Medium,Low Floor
flat,sohna road,0.5,2,2,2,New Property,663.01,No,unfurnished,Low,Mid Floor
flat,sector 3,1.2,2,2,3,Under Construction,1443.98,No,unfurnished,Medium,Low Floor
flat,sector 89,1.3,3,3,2,New Property,1499.95,No,unfurnished,Low,Low Floor
flat,sector 66,3.0,3,3,2,Relatively New,1949.99,Yes,unfurnished,Medium,High Floor
flat,sector 56,1.35,3,2,2,Old Property,1299.96,No,unfurnished,High,Low Floor
flat,sector 85,1.84,3,4,3,Relatively New,2407.99,No,unfurnished,High,Mid Floor
flat,sector 95,0.45,2,2,1,Relatively New,979.95,No,unfurnished,Medium,Low Floor
flat,sector 70,1.3,3,3,3,Under Construction,2061.0,No,semifurnished,Medium,High Floor
house,manesar,0.8,8,8,2,Relatively New,1326.0,No,unfurnished,Low,Low Floor
house,sector 23,5.0,4,4,2,Old Property,3401.0,No,unfurnished,Low,Low Floor
flat,sector 49,1.95,3,3,3,Old Property,1805.0,No,semifurnished,Medium,Low Floor
flat,sector 102,2.05,3,4,3+,Relatively New,2525.06,Yes,unfurnished,Medium,High Floor
flat,sector 53,6.44,4,4,3,Moderately Old,3389.98,Yes,semifurnished,Medium,Mid Floor
flat,sector 83,1.0,3,3,2,Relatively New,1739.98,No,semifurnished,High,Low Floor
house,sector 4,0.51,4,4,3,New Property,398.0,No,unfurnished,Low,Mid Floor
flat,sector 66,3.4,3,4,3,Relatively New,2200.03,Yes,semifurnished,Medium,Mid Floor
flat,sector 109,1.5,3,4,3+,Relatively New,2149.98,Yes,unfurnished,Low,Mid Floor
flat,sector 69,0.74,3,3,1,Under Construction,1336.98,Yes,unfurnished,Medium,Mid Floor
flat,sector 66,2.8,3,4,3,Relatively New,1949.99,Yes,semifurnished,Medium,Mid Floor
flat,sector 108,0.7,2,2,1,Moderately Old,1539.08,No,unfurnished,Low,Mid Floor
flat,sector 102,1.05,2,2,2,Under Construction,1141.16,No,unfurnished,Low,Low Floor
house,sector 4,2.3,4,4,3,Old Property,1591.0,No,semifurnished,Low,Low Floor
house,sector 4,1.1,6,4,1,Moderately Old,1094.0,No,unfurnished,Low,Low Floor
flat,sector 102,2.5,4,5,3+,Relatively New,3197.95,Yes,unfurnished,Medium,Mid Floor
flat,sector 81,0.95,2,2,2,Relatively New,1360.02,No,semifurnished,Medium,Low Floor
house,sector 82,7.0,4,4,3+,Relatively New,3580.0,Yes,semifurnished,Low,Low Floor
flat,sector 69,1.4,3,3,1,Relatively New,1567.98,No,unfurnished,High,High Floor
house,sector 26,17.3,6,7,3+,New Property,4992.0,Yes,semifurnished,Medium,Mid Floor
flat,gwal pahari,1.53,3,3,3,New Property,1783.17,No,semifurnished,Medium,Low Floor
flat,sector 92,0.92,4,5,3+,Moderately Old,2059.82,No,semifurnished,Medium,High Floor
flat,sector 9,1.2,4,3,2,Moderately Old,2244.52,No,semifurnished,Low,Mid Floor
flat,sector 56,2.05,4,4,3,Relatively New,2149.98,Yes,semifurnished,Low,Mid Floor
house,sector 50,11.58,5,5,3,Moderately Old,3580.0,Yes,unfurnished,Low,Low Floor
house,sector 38,4.0,9,9,3+,Relatively New,5057.55,No,semifurnished,High,Low Floor
flat,sohna road,0.56,2,2,3,New Property,1024.82,No,unfurnished,Medium,Mid Floor
house,sector 2,2.55,3,3,2,Old Property,1720.0,No,unfurnished,Low,Low Floor
house,sector 57,3.3,4,3,3+,Moderately Old,1840.0,Yes,unfurnished,High,Low Floor
flat,sector 84,0.34,2,2,1,Relatively New,582.97,No,unfurnished,Medium,Mid Floor
flat,sector 92,0.7,3,3,2,Under Construction,1392.0,No,unfurnished,Low,High Floor
flat,sector 91,0.96,2,2,3+,Moderately Old,1404.04,No,unfurnished,Medium,Mid Floor
flat,sector 113,1.5,2,2,2,New Property,1275.95,No,unfurnished,Medium,High Floor
flat,sector 104,2.25,3,4,3+,Relatively New,2449.97,Yes,semifurnished,High,Mid Floor
flat,sector 33,1.7,3,3,3,Under Construction,1788.96,No,unfurnished,Low,High Floor
flat,sector 74,1.54,2,2,3+,Relatively New,1423.96,No,unfurnished,Medium,High Floor
flat,sector 107,0.52,3,2,2,Relatively New,804.44,No,unfurnished,Low,Mid Floor
flat,manesar,0.95,3,4,3,Moderately Old,2600.02,Yes,unfurnished,Medium,Mid Floor
flat,sector 85,2.03,4,4,3+,Relatively New,2811.96,No,unfurnished,Low,Mid Floor
house,sector 33,11.75,5,7,3+,Relatively New,4992.0,Yes,unfurnished,Medium,Mid Floor
house,sector 47,4.3,6,4,2,Moderately Old,1621.0,No,unfurnished,Low,Low Floor
flat,sector 90,1.65,4,4,3+,Moderately Old,2727.03,No,unfurnished,Medium,Mid Floor
house,sector 43,2.1,10,10,3+,New Property,607.0,Yes,unfurnished,Low,Mid Floor
flat,sector 37d,0.9,3,3,2,Relatively New,1284.99,No,furnished,Low,High Floor
house,sector 56,3.4,6,6,3+,Moderately Old,1691.0,No,semifurnished,Low,Low Floor
flat,sector 78,0.75,2,2,1,Moderately Old,1380.89,No,unfurnished,Low,Mid Floor
flat,sector 108,1.68,3,3,3+,Relatively New,2002.95,Yes,semifurnished,Medium,Mid Floor
house,sector 38,4.0,6,6,3+,Old Property,2029.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 68,1.85,3,3,3+,Under Construction,1987.02,No,unfurnished,Low,High Floor
flat,sector 88a,1.15,2,2,3,Relatively New,1615.98,No,unfurnished,High,High Floor
house,sector 28,0.7,4,2,0,Old Property,955.0,No,unfurnished,Low,Low Floor
flat,sector 79,1.72,3,4,3+,Relatively New,2149.98,Yes,unfurnished,High,Mid Floor
flat,sector 89,1.25,3,3,3,New Property,1422.99,No,unfurnished,Medium,Mid Floor
flat,sector 85,1.2,2,2,2,Relatively New,1670.99,Yes,unfurnished,Medium,Mid Floor
house,sector 25,6.5,4,3,3,Moderately Old,1989.0,No,unfurnished,Low,Mid Floor
flat,sector 88a,0.5,3,2,2,Under Construction,744.22,No,unfurnished,Low,Low Floor
flat,sector 102,1.39,3,3,3,Relatively New,1650.0,Yes,semifurnished,Low,Mid Floor
house,sector 4,0.5,2,2,2,New Property,497.0,Yes,unfurnished,Low,Low Floor
flat,sector 37d,0.8,2,2,3,Relatively New,1380.04,No,unfurnished,High,Mid Floor
flat,sector 88a,1.38,3,3,3+,Relatively New,2576.43,Yes,unfurnished,Medium,Mid Floor
house,sector 92,1.8,4,5,0,Relatively New,2608.0,No,unfurnished,Low,High Floor
flat,sector 56,2.0,4,4,2,Under Construction,2300.03,No,unfurnished,Low,Mid Floor
flat,sector 86,0.74,2,2,1,Under Construction,1360.02,No,unfurnished,Low,High Floor
flat,sector 48,3.45,4,4,3+,Moderately Old,3366.75,No,unfurnished,Low,Low Floor
flat,sector 58,3.83,3,4,2,Relatively New,2163.97,Yes,semifurnished,High,Mid Floor
flat,sector 49,1.85,3,3,1,Moderately Old,1626.0,No,unfurnished,High,Mid Floor
flat,sector 37c,0.55,1,1,0,Relatively New,739.0,No,unfurnished,Low,Mid Floor
flat,sector 81,0.96,2,2,2,Under Construction,1340.21,No,unfurnished,Low,Low Floor
flat,sector 89,0.9,2,2,2,New Property,1102.98,No,unfurnished,Low,Low Floor
flat,sector 85,1.31,2,2,2,Relatively New,2044.85,Yes,unfurnished,Medium,Mid Floor
flat,sector 84,0.49,2,2,2,Relatively New,1125.04,No,unfurnished,Medium,High Floor
flat,sector 71,1.12,3,4,3,Moderately Old,1801.98,Yes,unfurnished,Medium,Low Floor
flat,sector 81,0.75,2,2,2,Moderately Old,1567.59,No,unfurnished,Low,Mid Floor
flat,sector 65,1.7,3,3,3,Relatively New,1395.0,No,semifurnished,Medium,Mid Floor
flat,sector 62,2.1,2,2,3,New Property,1508.02,No,semifurnished,Low,High Floor
flat,sector 107,0.9,2,2,3+,Relatively New,1366.05,No,semifurnished,Low,Mid Floor
flat,sector 37c,1.25,3,3,3,Relatively New,1735.03,No,unfurnished,Low,Low Floor
flat,sector 62,2.1,2,2,2,New Property,1508.0,Yes,unfurnished,Medium,High Floor
flat,sector 63a,2.1,2,2,2,Under Construction,1571.16,No,unfurnished,Low,Low Floor
flat,sector 47,1.65,3,3,3,Old Property,2100.04,No,semifurnished,Medium,Low Floor
flat,sector 72,1.9,3,3,3,Relatively New,2182.0,No,unfurnished,Low,Mid Floor
flat,sector 47,2.45,3,4,2,Old Property,2855.26,No,semifurnished,Low,Low Floor
flat,sector 81,2.7,3,3,3,Relatively New,2629.59,Yes,semifurnished,Low,High Floor
flat,sector 57,1.5,3,2,3+,Moderately Old,2760.74,No,unfurnished,Medium,Low Floor
flat,sector 110,3.25,4,4,3,Relatively New,3399.99,Yes,unfurnished,Medium,High Floor
flat,sector 74,1.5,2,2,1,New Property,1745.93,No,unfurnished,Low,Mid Floor
flat,sector 54,6.75,4,6,3+,Moderately Old,3159.96,Yes,semifurnished,Medium,High Floor
flat,sector 2,0.98,2,2,3,Moderately Old,1415.02,No,unfurnished,Medium,Low Floor
flat,sector 37c,0.95,3,3,3+,New Property,1874.96,No,unfurnished,Medium,Low Floor
house,sector 24,3.5,5,4,3,Old Property,1193.0,No,unfurnished,Low,Mid Floor
flat,sector 69,1.43,3,3,2,Relatively New,1577.99,No,unfurnished,Medium,Low Floor
flat,sector 71,0.39,1,1,2,New Property,324.96,No,unfurnished,Low,Low Floor
flat,sector 53,6.5,4,5,3+,Relatively New,3389.98,Yes,semifurnished,High,Mid Floor
flat,sector 48,1.8,3,4,3,Moderately Old,2189.58,No,semifurnished,Medium,Mid Floor
flat,sector 107,0.9,2,2,3+,Relatively New,1366.05,No,unfurnished,Low,Mid Floor
flat,sector 49,2.51,3,3,3+,Old Property,2060.96,No,semifurnished,Medium,Mid Floor
flat,sector 106,1.15,3,4,3,Relatively New,1900.04,Yes,unfurnished,Low,Mid Floor
flat,sector 99,1.6,3,4,0,New Property,2652.0,No,unfurnished,Medium,High Floor
flat,sector 79,0.78,2,2,3+,Relatively New,1295.0,No,unfurnished,Low,High Floor
flat,sector 50,2.51,3,3,3,Moderately Old,2093.04,No,semifurnished,Medium,High Floor
flat,sector 69,1.4,3,3,2,Relatively New,1577.99,No,unfurnished,Medium,Low Floor
flat,sector 89,1.1,2,2,2,New Property,1375.61,No,unfurnished,Medium,Mid Floor
flat,sector 76,3.35,3,4,3+,Under Construction,2369.15,Yes,furnished,High,Mid Floor
house,sector 56,4.0,4,4,3+,Relatively New,1661.0,No,semifurnished,Low,Low Floor
flat,sector 85,2.1,4,5,3+,Relatively New,2811.96,No,semifurnished,Medium,Mid Floor
flat,sector 102,1.49,3,3,3,Relatively New,1650.0,No,semifurnished,High,Mid Floor
flat,sector 14,2.2,3,4,3+,Old Property,2194.86,No,unfurnished,Low,Mid Floor
flat,sector 81,0.95,2,2,2,Relatively New,1360.02,No,semifurnished,High,High Floor
flat,sector 92,1.25,4,3,0,Under Construction,2254.0,No,unfurnished,Low,High Floor
flat,sector 102,1.45,3,3,3,Relatively New,1650.0,Yes,unfurnished,High,Mid Floor
flat,sector 81,0.49,2,2,3,Relatively New,734.96,No,unfurnished,Medium,Mid Floor
flat,sector 89,1.25,3,3,3,Under Construction,1422.99,No,unfurnished,Low,Low Floor
flat,sector 105,0.45,3,2,1,Relatively New,1184.85,No,semifurnished,Low,Low Floor
flat,sector 106,1.35,4,3,3,Old Property,1882.98,Yes,unfurnished,Medium,High Floor
house,sector 57,3.3,4,4,2,Moderately Old,1909.0,No,semifurnished,Medium,Mid Floor
house,sector 4,0.67,3,2,1,Moderately Old,865.0,No,unfurnished,Low,Low Floor
flat,sector 2,0.55,1,1,2,Moderately Old,650.03,No,unfurnished,Low,Mid Floor
flat,sector 92,0.82,3,3,3+,Relatively New,1683.0,No,unfurnished,Low,High Floor
flat,sector 36,0.82,3,2,2,New Property,1081.02,No,unfurnished,Low,Low Floor
flat,sector 63a,0.7,1,1,0,Under Construction,604.46,No,unfurnished,Low,Mid Floor
house,sector 105,0.6,8,4,3,New Property,597.0,No,unfurnished,Low,Mid Floor
flat,sector 65,2.0,2,2,2,New Property,1309.97,No,semifurnished,High,High Floor
flat,sector 111,2.58,3,4,2,Moderately Old,2200.03,Yes,unfurnished,Medium,Mid Floor
flat,sector 83,1.15,3,3,1,Moderately Old,1832.02,No,semifurnished,Medium,Mid Floor
flat,sector 81,2.35,3,4,3+,Relatively New,2659.97,Yes,semifurnished,Medium,Mid Floor
flat,sector 77,1.05,3,3,3,Relatively New,1822.01,No,unfurnished,Low,Mid Floor
flat,sector 89,0.8,2,3,3,Under Construction,1660.01,No,unfurnished,Medium,Mid Floor
flat,sohna road,0.9,2,2,3+,Moderately Old,1464.97,No,semifurnished,High,Mid Floor
flat,sector 69,1.29,3,3,1,Relatively New,1567.98,No,semifurnished,Medium,High Floor
house,sector 48,5.5,4,4,2,Relatively New,2586.0,Yes,semifurnished,Low,Low Floor
house,sector 23,5.1,3,2,0,Old Property,1191.31,No,unfurnished,Low,Low Floor
flat,sector 37d,0.5,3,3,2,Under Construction,872.97,No,unfurnished,Low,Low Floor
flat,sector 84,0.34,2,2,1,Relatively New,602.44,No,semifurnished,Medium,Low Floor
house,sector 17,0.29,2,1,0,Old Property,985.0,No,unfurnished,Low,Low Floor
flat,sector 65,2.5,3,3,3,Under Construction,1828.03,No,unfurnished,Low,High Floor
flat,sector 38,2.1,4,4,3+,Old Property,2193.15,No,furnished,Low,Mid Floor
flat,sector 77,2.1,3,3,3,New Property,2025.01,Yes,unfurnished,Low,High Floor
house,sector 50,9.8,4,4,3,Moderately Old,3087.07,Yes,unfurnished,Low,Low Floor
flat,sector 21,0.8,2,2,2,Old Property,1409.28,No,unfurnished,Low,Mid Floor
house,sector 28,11.25,9,9,3+,Moderately Old,3580.0,Yes,semifurnished,Medium,Low Floor
flat,sector 37c,1.27,3,3,3,Relatively New,1763.02,No,unfurnished,Low,Low Floor
house,sector 109,5.7,4,5,3+,Relatively New,5967.0,Yes,unfurnished,High,Mid Floor
house,sector 24,11.0,8,11,3+,Old Property,5525.0,Yes,semifurnished,Low,Mid Floor
flat,sector 108,0.98,2,3,3,Relatively New,1005.39,Yes,unfurnished,Low,High Floor
flat,sector 12,0.6,2,2,1,New Property,897.8,No,furnished,Low,Low Floor
flat,sector 102,1.35,3,3,3,Relatively New,1650.0,Yes,unfurnished,Medium,Mid Floor
flat,sector 74,2.7,3,3,3,New Property,2018.02,No,unfurnished,Medium,High Floor
house,sector 46,3.6,5,5,3+,Moderately Old,1601.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 37d,1.55,4,3,3+,Relatively New,2190.99,No,semifurnished,Medium,High Floor
flat,sector 63,8.5,4,4,0,New Property,4365.0,No,unfurnished,Medium,High Floor
house,sector 28,8.95,5,6,3+,Moderately Old,5525.0,No,unfurnished,Low,Mid Floor
flat,sohna road,0.25,2,2,1,Relatively New,744.1,No,semifurnished,Medium,High Floor
house,sector 12,0.53,4,4,2,Relatively New,398.0,No,unfurnished,Low,Mid Floor
flat,sector 86,1.55,4,4,3+,Moderately Old,2356.0,Yes,semifurnished,Medium,High Floor
flat,sector 86,1.59,3,3,3,Relatively New,1929.0,No,semifurnished,High,High Floor
flat,sector 70a,2.5,3,4,3,Relatively New,2349.97,Yes,semifurnished,High,Mid Floor
house,sector 70a,1.04,3,3,3+,Relatively New,1808.0,No,semifurnished,Medium,Low Floor
flat,sector 85,1.45,3,4,2,New Property,2119.95,Yes,unfurnished,Low,Mid Floor
flat,sector 70a,2.3,3,3,3,Relatively New,2149.98,No,semifurnished,Medium,Mid Floor
flat,sector 28,6.2,3,4,3+,Relatively New,2684.95,Yes,semifurnished,High,High Floor
flat,sector 74,2.2,3,3,3,New Property,2018.02,No,semifurnished,Low,High Floor
flat,sector 50,2.35,3,3,3+,Moderately Old,1997.03,No,semifurnished,High,Mid Floor
flat,sector 84,0.35,2,2,1,Relatively New,582.97,No,unfurnished,Low,Mid Floor
flat,sohna road,0.75,3,2,3+,New Property,1347.89,No,unfurnished,Medium,Mid Floor
flat,sector 92,0.67,2,2,2,Relatively New,1199.96,No,unfurnished,Low,Mid Floor
flat,sector 82,1.12,3,3,2,Relatively New,1790.04,No,unfurnished,Low,High Floor
flat,sector 50,2.65,3,3,3+,Moderately Old,2604.97,Yes,unfurnished,High,Mid Floor
flat,sector 95,0.43,2,2,2,Relatively New,1364.0,No,unfurnished,Medium,Mid Floor
flat,sector 2,1.5,3,4,3+,Moderately Old,1919.96,Yes,unfurnished,Medium,Mid Floor
flat,sector 86,0.64,2,2,1,New Property,1503.0,No,unfurnished,Medium,Mid Floor
flat,manesar,1.25,3,3,3+,Moderately Old,3304.12,Yes,unfurnished,Low,Mid Floor
flat,sector 67a,2.0,3,3,3,New Property,1749.99,No,unfurnished,Low,High Floor
flat,sector 102,1.54,3,3,3,Relatively New,1650.0,Yes,unfurnished,Medium,High Floor
flat,sector 11,0.8,3,2,0,Old Property,1550.0,No,unfurnished,Low,Low Floor
flat,sector 84,1.24,3,3,3,Relatively New,1918.02,No,semifurnished,High,Mid Floor
flat,sector 111,4.67,4,4,3+,Under Construction,3429.3,No,unfurnished,Medium,Mid Floor
flat,sector 89,0.25,1,1,1,New Property,499.98,No,unfurnished,Medium,Mid Floor
flat,sohna road,0.95,2,2,3+,New Property,1452.05,No,semifurnished,Medium,Mid Floor
flat,sector 61,1.57,2,2,2,New Property,1271.0,No,unfurnished,Medium,Mid Floor
house,sector 26,16.0,5,6,3,Old Property,4972.0,No,unfurnished,Low,Low Floor
flat,sector 102,2.0,3,3,3+,Relatively New,1852.04,No,unfurnished,Medium,Low Floor
flat,sector 107,0.51,3,2,2,Relatively New,804.44,No,unfurnished,Low,Mid Floor
flat,sector 62,7.15,4,5,3+,Relatively New,4336.99,Yes,semifurnished,High,Mid Floor
flat,sector 70,1.6,3,3,3,Relatively New,1949.99,Yes,unfurnished,Low,Mid Floor
flat,sector 81,2.22,3,4,3+,Relatively New,2659.97,Yes,semifurnished,High,High Floor
flat,sector 104,1.2,2,2,2,Under Construction,1098.99,No,unfurnished,Low,High Floor
flat,sector 79,2.0,3,4,3+,Relatively New,2366.01,Yes,unfurnished,Medium,Mid Floor
house,sector 67a,1.83,4,4,2,New Property,2984.0,No,semifurnished,Medium,Mid Floor
house,sector 33,8.0,6,5,3+,Relatively New,4972.0,No,unfurnished,Low,Mid Floor
house,sector 6,0.5,3,3,2,Moderately Old,663.0,No,unfurnished,Low,Low Floor
